station_train_code,train_no
S8020,6d000S802007
S8022,6d000S802207
S8024,6d000S802408
S8026,6d000S80260A
S8028,6d000S802808
S8030,6d000S803008
S8032,6d000S803205
S8034,6d000S803408
S8036,6d000S803608
S8038,6d000S803808
S8040,6d000S804009
S8042,6d000S804208
S8044,6d000S804409
S8048,6d000S804810
S8050,6d000S805008
S8052,6d000S805208
S8054,6d000S805405
S8056,6d000S805605
S8058,6d000S805805
S8060,6d000S806006
S8062,6d000S806210
S8069,6b000S806905
S8070,6d000S807005
S8071,6b000S807106
S8072,6d000S807205
S8073,6b000S807307
S8074,6d000S807406
S8075,6b000S807506
S8076,6d000S807605
S8077,6b000S807706
S8078,6d000S807805
S8079,6b000S807906
S8080,6d000S808005
S8081,6b000S808106
S8082,6d000S808205
S8083,6b000S808305
S8084,6d000S808405
S8085,6b000S808506
S8086,6d000S808606
S8087,6b000S808706
S8088,6d000S808806
S8089,6b000S808905
S8090,6d000S809005
S8091,6b000S809105
S8092,6d000S809205
S8093,6b000S809305
S8094,6d000S809405
S8095,6b000S809505
S8096,6d000S809605
S8097,6b000S809704
S8098,6d000S809806
S8099,6b000S809906
S8100,6d000S810005
S8101,6b000S810103
S8102,6d000S810204
S8103,6b000S810304
S8104,6d000S81040G
S8105,6b000S81050G
S8106,6d000S81060G
S8107,6b000S81070G
S8108,6d000S81080H
S8109,6b000S81090G
S8110,6d000S81100F
S8111,6b000S81110K
S8112,6d000S81120K
S8113,6b000S81130L
S8114,6d000S81140K
S8115,6b000S81150K
S8116,6d000S81160K
S8117,6b000S81170K
S8118,6d000S81180K
S8119,6b000S81190K
S8120,6d000S81200K
S8121,6b000S81210K
S8122,6d000S81220K
S8123,6b000S81230K
S8124,6d000S81240K
S8125,6b000S81250I
S8126,6d000S812607
S8127,6b000S812703
S8128,6d000S812803
S8129,6b000S812903
S8130,6d000S813001
S8131,6b000S813103
S8132,6d000S813202
S8133,6b000S813301
S8134,6d000S813402
S8135,6b000S813502
S8136,6d000S813602
S8137,6b000S813703
S8138,6d000S813802
S8139,6b000S813902
S8140,6d000S814002
S8141,6b000S814104
S8142,6d000S814204
S8143,6b000S814304
S8144,6d000S814404
S8145,6b000S814502
S8146,6d000S814602
S8147,6b000S814702
S8148,6d000S814802
S8149,6b000S814902
S8150,6d000S815001
S8151,6d000S815101
S8152,6d000S815202
S8153,6b000S815301
S8154,6d000S815401
S8155,6b000S815501
S8156,6d000S815601
S8157,6b000S815701
S8158,6d000S815802
S8159,6b000S815901
S8160,6d000S816001
S8161,6b000S816100
S8162,6d000S816200
S8163,6b000S816301
S8164,6d000S816402
S8165,6b000S816500
S8166,6d000S816600
S8167,6b000S816700
S901,250000S90108
S902,250000S9020I
S903,250000S90304
S904,250000S90410
S905,250000S90503
S906,250000S90603
S907,250000S9070R
S908,250000S9080F
S909,250000S9090J
S910,250000S91004
S911,250000S91109
S912,250000S91203
S913,250000S9130A
S914,250000S91411
S915,250000S91516
S916,250000S91606
S917,250000S91704
S918,250000S91806
S951,2m0000S95101
S952,260000S95201
S953,2m0000S95300
S954,260000S95400
S955,2m0000S95500
S956,260000S95600
S957,2m0000S95700
S958,260000S95800
S959,2m0000S95900
S960,260000S96000
S961,2m0000S96100
S962,260000S96201
