station_train_code,train_no
G1466,5u000G146601
G1468,55000G146810
G1470,5u000G147005
G1471,5l000G147110
G1472,5w000G147202
G1473,56000G147310
G1474,5u000G147402
G1475,76000G147501
G1476,5l000G147620
G1479,57000G147905
G1480,6c000G148004
G1481,5l000G148104
G1482,6c000G14820F
G1483,5l000G148370
G1484,78000G14840C
G1492,57000G14920A
G1493,5l000G149380
G1495,5l000G149532
G1496,5u000G149608
G15,2400000G150I
G150,5l0000G15071
G151,240000G15133
G152,5l0000G152F0
G153,240000G1530N
G154,5l0000G154C0
G156,5l0000G15606
G157,240000G1570W
G158,560000G15800
G159,240000G1593H
G1501,5l000G150180
G1502,71000G15020E
G1503,5l000G1503D2
G1504,71000G15040F
G1505,5l000G150572
G1506,71000G15060W
G1507,6c000G150703
G1508,71000G150802
G1509,5l000G150965
G1510,4z000G151008
G1511,5u000G15110C
G1514,80000G15140H
G1515,24000G151503
G1516,42000G151602
G1517,27000G151700
G1518,71000G151800
G1525,4e000G152504
G1526,80000G152609
G1527,24000G152702
G1528,42000G152801
G1532,5l000G153210
G1534,77000G153400
G1535,38000G15350D
G1536,80000G153605
G1537,38000G15370F
G1538,80000G15380H
G1539,5l000G153930
G1540,80000G154009
G1544,56000G154410
G1546,71000G154620
G1549,48000G154920
G1550,6c000G155004
G1552,49000G155203
G1554,6c000G155404
G1555,24000G155501
G1557,38000G155700
G1561,38000G156106
G1565,24000G156501
G1566,53000G156600
G1567,24000G15670C
G1568,38000G156806
G1571,24000G157108
G1572,38000G157205
G1573,4f000G157304
G1574,77000G157404
G1577,24000G15770B
G1578,53000G157830
G1579,24000G157909
G1580,4r000G158005
G1581,57000G15810K
G1583,5l000G158352
G1585,38000G158500
G1587,24000G158702
G1589,24000G158907
G1590,4r000G159003
G1591,24000G159105
G1592,53000G159203
G1595,24000G159500
G1597,5f000G159700
G16,5500000G1600
G160,5l0000G160B2
G161,240000G1610H
G162,5l0000G16270
G169,240000G16909
G1601,53000G160141
G1602,6i000G16020E
G1605,5l000G160520
G1606,4z000G160602
G1607,6c000G160709
G1608,58000G16090N
G1611,5i000G161160
G1612,5n000G16120H
G1623,6c000G162300
G1625,5n000G162502
G1631,5l000G163160
G1632,58000G16320H
G1634,4z000G163405
