station_train_code,train_no
C2213,24000C22130S
C2214,25000C22140G
C2215,24000C221500
C2216,25000C22160L
C2217,24000C22170K
C2218,25000C22180J
C2219,24000C221920
C2220,25000C22200N
C2221,24000C22210N
C2222,25000C22220J
C2223,24000C222310
C2224,25000C222400
C2225,24000C22250E
C2226,25000C22260I
C2227,24000C22270N
C2228,25000C222800
C2229,24000C222900
C2230,25000C22300Q
C2231,24000C22310J
C2232,25000C22320K
C2233,24000C22330O
C2234,25000C223400
C2235,24000C223500
C2236,25000C223600
C2237,24000C223700
C2238,25000C223800
C2239,24000C22390O
C2240,25000C22400H
C231,410000C23106
C232,430000C23201
C235,410000C23506
C236,410000C23606
C238,410000C23802
C2301,25000C230109
C2302,25000C230209
C2303,25000C23030U
C2304,25000C23040U
C2319,24000C231900
C2320,25000C232001
C240,430000C24002
C243,410000C24301
C244,410000C24406
C246,250000C24604
C248,250000C24820
C252,250000C25201
C254,250000C25402
C256,250000C25600
C258,250000C25800
C2551,24000C255103
C2552,25000C255203
C2553,24000C255303
C2554,25000C255402
C2555,24000C255503
C2556,25000C255603
C2557,24000C255704
C2558,25000C255802
C2559,24000C255902
C2560,25000C256002
C2561,24000C256102
C2562,25000C256203
C2563,24000C256303
C2564,25000C256402
C2565,24000C256502
C2566,25000C256602
C2567,24000C256704
C2568,25000C256803
C2569,24000C256903
C2570,25000C257003
C2571,24000C257103
C2572,25000C257203
C2573,24000C257302
C2574,25000C257402
C2575,24000C25750M
C2576,25000C257602
C2577,24000C257702
C2578,25000C257803
C2579,24000C257902
C2580,25000C25800R
C2581,24000C25810A
C2582,25000C25820B
C2583,24000C25830A
C2584,25000C258408
C2585,24000C25850C
C2586,25000C258609
C2587,24000C25870A
C2588,25000C25880B
C2589,24000C25890A
C2590,25000C25900A
C2591,24000C259109
C2592,25000C259209
C2593,24000C259308
C2594,25000C259409
C2595,24000C259507
C2596,25000C25960J
C2597,24000C259707
C2598,25000C259805
C2599,24000C259902
C260,250000C26000
C262,840000C26202
C266,840000C26606
C268,800000C26804
C2600,25000C260000
C2601,24000C26010P
C2602,25000C260201
C2603,24000C26030Q
C2604,25000C260401
C2605,24000C260504
C2606,25000C26060W
C2607,24000C26070R
C2608,25000C260807
C2609,24000C26090W
C2610,25000C26100N
C2611,24000C26111R
C2612,25000C26121W
C2613,24000C26130Q
C2614,25000C26140H
C2615,24000C26150Y
C2616,25000C26161E
C2617,24000C261704
C2618,25000C26180O
C2619,24000C261904
C2620,25000C26200Q
C2621,24000C262105
C2622,25000C262204
C2623,24000C262304
C2624,25000C262404
C2625,24000C262504
C2626,25000C262603
C2627,24000C262704
C2628,25000C262804
C2630,25000C263005
C2631,24000C263103
C2632,25000C263202
C2633,24000C263302
C2634,25000C263402
C2635,24000C263502
C2636,25000C263600
C2637,24000C263703
C2638,25000C263802
C2640,25000C264003
C2642,25000C264202
C2643,24000C264303
C2645,24000C26450N
C2646,25000C264603
C2647,24000C264702
C2650,25000C265003
C2651,24000C265104
C2652,25000C265203
C2653,24000C265302
C2656,25000C265600
C2657,24000C265702
C2660,25000C266004
C2661,24000C266105
C270,840000C27010
C272,800000C27202
C273,800000C27605
C274,840000C27404
C2701,24000C270102
C2702,24000C270204
C2703,24000C270304
C2704,24000C270406
C2705,24000C270504
C2706,24000C270606
C2707,24000C270710
C2708,24000C270803
C2709,24000C270903
C2710,24000C271005
C2711,24000C271110
C2712,24000C271202
C2713,24000C271304
C2714,24000C271401
C2715,24000C271504
C2716,24000C271604
C2717,24000C271704
C2718,24000C271810
C2719,24000C271902
C2720,24000C272004
C2721,24000C272105
C2722,24000C272205
C2723,24000C272303
C2724,24000C272404
C2725,24000C272502
C2726,24000C272603
C2727,24000C272701
C2728,24000C272803
C2729,24000C272903
C2730,24000C273004
C2731,24000C273106
C2732,24000C273202
C2735,24000C273501
C2736,24000C273602
C2751,38000C275120
C2752,38000C275220
C2753,38000C275320
C2754,38000C275420
C2755,38000C275520
C2756,38000C275620
C2757,38000C275720
C2758,38000C275820
C2759,38000C275920
C2760,38000C276020
C2761,38000C276120
C2762,38000C276220
C2763,38000C276320
C2764,38000C276420
C2765,38000C276520
C2766,38000C276620
C2767,38000C276710
C2768,38000C276810
C2769,38000C276910
C2770,38000C277010
C2771,38000C277110
C2772,38000C277210
C2773,38000C277310
C2774,38000C277410
C2775,38000C277510
C2776,38000C277610
C280,800000C28001
C282,840000C28209
C284,800000C28405
C286,840000C28605
C288,800000C28803
C2801,38000C280150
C2802,38000C280240
C2803,38000C280340
C2804,38000C280450
C2805,38000C280590
C2806,38000C280690
C2807,38000C280760
C2808,38000C280860
C2809,38000C280980
C2810,38000C281070
C2813,38000C281340
C2814,38000C281430
C2815,38000C281540
C2816,38000C281630
C2817,38000C281730
C2818,38000C281810
C2819,38000C281910
C2820,38000C282030
C2823,38000C282350
C2824,38000C282450
C2825,38000C282550
C2826,38000C282650
C2827,38000C282750
C2828,38000C282850
C2829,38000C282950
C2830,38000C283050
C290,840000C29005
C292,800000C29206
C2901,38000C290101
C2902,38000C290204
C2903,38000C290307
C2904,38000C290402
C2905,38000C290507
C2906,38000C290606
C2907,38000C290707
C2908,38000C290806
C2909,38000C290908
C2910,38000C291003
C2911,38000C291106
C2912,38000C291205
C2913,38000C291306
C2914,38000C291406
C2921,38000C292106
C2922,38000C292207
C2923,38000C292307
C2924,38000C292407
C2925,38000C292508
C2926,38000C292606
C2927,38000C292708
C2928,38000C292807
C2929,38000C292906
C2930,38000C293006
C2931,38000C29310I
C2932,38000C293280
C2933,38000C29330I
C2939,38000C293907
C2940,38000C294009
C2941,38000C29410F
C2942,38000C294207
C2943,38000C294350
C2944,38000C294430
C2945,38000C294501
C2946,38000C294601
C2947,38000C294720
C2948,38000C294830
C2949,38000C294920
C2950,38000C295020
C2951,38000C295105
C31,7700000C3110
C32,7700000C3200
C301,800000C30105
C302,840000C30204
C303,800000C30305
C304,840000C30405
C305,800000C30501
C306,840000C30607
C307,800000C30705
C308,840000C30803
C309,800000C30905
C311,800000C31106
C312,840000C31203
C313,800000C31304
C316,840000C31603
C317,800000C31703
C318,840000C31805
C319,800000C31902
C320,840000C32006
C321,800000C32102
C322,840000C32201
C323,800000C32305
C332,840000C33204
C334,800000C33404
C336,840000C33603
C338,800000C33802
C340,800000C34000
C342,8c0000C34200
C344,800000C34401
C346,8c0000C34600
C348,800000C34803
C350,8c0000C35002
C351,800000C35105
C352,840000C35205
C354,840000C35404
C356,800000C35601
C358,8c0000C35801
C371,8c0000C37107
C372,8c0000C37206
C373,8c0000C37302
C374,8c0000C37402
C377,8c0000C37706
C378,8c0000C37806
C380,840000C38006
C382,840000C38206
C384,800000C3840D
C385,800000C38505
C386,840000C3860C
C389,840000C38903
C390,840000C39004
C391,840000C39105
C392,840000C39203
C393,840000C39303
C3101,5l000C310101
C3103,54000C310320
C3105,48000C310510
C3107,54000C310702
C3110,54000C311102
C3113,5l000C311309
C3119,54000C311908
C3123,54000C312302
C3125,48000C312501
C3127,54000C312702
C3129,48000C312910
C3131,54000C313102
C3133,48000C313310
C3135,54000C313501
C3137,48000C313702
C3151,5l000C315100
C3157,54000C315710
C3158,5f000C315801
C3161,54000C316110
C3162,5f000C316231
C3163,5f000C316302
C3165,54000C316502
C3169,5l000C316900
C3170,5f000C317011
C3171,5f000C317120
C3177,54000C317711
C3178,5f000C317802
C3181,54000C318103
C3182,5f000C318202
C3189,54000C318902
C3191,48000C319101
C3193,54000C319301
C3195,48000C319501
C3197,54000C319701
C3201,5l000C320102
C3221,48000C322101
C3223,5l000C322311
C3251,48000C325120
C3253,5l000C325321
C3255,5f000C325502
C3257,5l000C325702
C3261,5l000C326101
C3262,5f000C326221
C3326,76000C332600
C3328,76000C332800
C3330,76000C333001
C3332,76000C333202
C3334,76000C333400
C3336,76000C333601
C3338,76000C333800
C3340,76000C334002
C3342,76000C334201
C3344,76000C334400
C3346,76000C334600
C3348,76000C334804
C3350,76000C335000
C3352,76000C335201
C3354,76000C335400
C3356,76000C335600
C3358,76000C335801
C3360,76000C336001
C3362,76000C336201
C3364,76000C336404
C3366,76000C336600
C3368,76000C336801
C3370,76000C337001
C3373,76000C337200
C3374,76000C337401
C3376,76000C337600
C3378,76000C337810
C3380,76000C338000
C3382,76000C338202
C3384,76000C338401
C3386,76000C338601
C3388,76000C338802
C3390,76000C339000
C3392,76000C339200
C3394,76000C339400
C3396,76000C339600
C3398,76000C339800
C3402,76000C340200
C3404,76000C340400
C3406,76000C340604
C3408,76000C340800
C3410,76000C341000
C3412,76000C341201
C3416,76000C341601
C3418,76000C341804
C3420,76000C342000
C3422,76000C342201
C3424,76000C342400
C3426,76000C342600
C3428,76000C342800
C3430,76000C343000
C3432,76000C343200
C3434,76000C343400
C3436,76000C343600
C3621,5l000C362102
C3622,5f000C362201
C3704,5f000C370420
C3706,5l000C370603
C3710,5l000C371010
C3712,5f000C371210
C3716,5f000C371601
C3718,5l000C371801
C3724,5f000C372412
C3730,5l000C373001
C3738,5l000C373840
C3740,5f000C374012
C3751,5f000C375110
C3752,5l000C375210
C3762,5f000C376201
C3764,54000C376400
C3766,5f000C376672
C3768,54000C376881
C3772,5l000C377202
C3774,54000C377405
C3778,54000C377802
C3782,5f000C378222
C3784,54000C378404
C3786,5f000C378610
C3788,54000C378811
C3792,5l000C379222
C3793,48000C379302
C3795,5f000C379512
C3796,5l000C379612
C3798,5l000C379801
C3799,5l000C379901
C3802,55000C380230
C3804,5f000C380410
C3808,5f000C380801
C3818,55000C381803
C3852,55000C385207
C3854,54000C385411
C3856,55000C385612
C3858,54000C385812
C3860,55000C386001
C3862,54000C386200
C3864,55000C386402
C3866,54000C386601
C3868,55000C386802
C3870,54000C387012
C3872,55000C387201
C3881,5l000C388101
C3882,55000C388202
C3883,5f000C388301
C3884,55000C388421
C40,7600000C4000
C41,7600000C4103
C44,7600000C4403
C45,7600000C4503
C46,7600000C4601
C48,7600000C4802
C49,7600000C4902
C402,560000C40201
C403,550000C40300
C404,560000C40400
C405,550000C40501
C406,560000C40601
C411,550000C41101
C412,560000C41201
C413,550000C41301
C414,560000C41401
C418,540000C41800
C422,5f0000C42201
C424,540000C42400
C426,5f0000C42600
C430,5f0000C43000
C432,540000C43200
C434,5f0000C43400
C436,540000C43600
C438,5f0000C43841
C440,540000C44041
C462,550000C46200
C464,5f0000C46410
C466,550000C46610
C468,5f0000C46811
C471,500000C47101
C472,5j0000C47200
C473,500000C47301
C474,5j0000C47401
C475,500000C47501
C476,5j0000C47601
C477,500000C47710
C478,5j0000C47800
C481,550000C48101
C482,560000C48201
C485,330000C48504
C486,330000C48603
C487,330000C48705
C488,330000C48804
C489,330000C48904
C490,330000C49004
C491,550000C49101
C492,560000C49211
C495,550000C49502
C496,560000C49601
C4702,6t000C470210
C4703,6t000C470320
C4704,6t000C470410
C4705,6t000C470530
C4706,6t000C470620
C4707,6t000C470710
C4708,6t000C470820
C4709,6t000C470910
C4710,6t000C471020
C4711,6t000C471120
C4712,6t000C471210
C4713,6t000C471310
C4714,6t000C471410
C4715,6t000C471520
C4716,6t000C471620
C4717,6t000C471710
C4718,6t000C471810
C4719,6t000C471910
C4720,6t000C472020
C4721,6t000C472110
C4722,6t000C472220
C4723,6t000C472310
C4724,6t000C472410
C4725,6t000C472510
C4726,6t000C472610
C4727,6t000C472710
C4728,6t000C472800
C4729,6t000C472900
C4753,6t000C475310
C4754,6t000C475420
C4757,6t000C475710
C4758,6t000C475820
C4760,6t000C476010
C4762,6t000C476230
C4764,6t000C476420
C4766,6t000C476620
C4768,6t000C476820
C4770,6t000C477020
C4772,6t000C477220
C4774,6t000C477420
C4776,6t000C477620
C4778,6t000C477820
C4780,6t000C478020
C4782,6t000C478220
C4784,6t000C478420
C4786,6t000C478630
C4788,6t000C478820
C4790,6t000C479020
C4792,6t000C479230
C4794,6t000C479420
C4796,6t000C479620
C4798,6t000C479820
C4800,6t000C480020
C4802,6t000C480230
C4804,6t000C480420
C4806,6t000C480620
C4808,6t000C480820
C4810,6t000C481020
C4812,6t000C481220
C4814,6t000C481420
C4816,6t000C481620
C4818,6t000C481820
