station_train_code,train_no
D2138,49000D213802
D2140,5l000D214030
D2142,49000D214201
D2145,49000D214510
D2146,5l000D214602
D2152,5l000D215200
D2154,49000D215402
D2156,59000D215603
D2158,42000D215803
D2160,5e000D216000
D2161,4e000D216102
D2163,5l000D216310
D2177,56000D217720
D2178,42000D217801
D2179,4e000D217903
D2180,59000D218010
D2181,4e000D218103
D2182,59000D218204
D2185,54000D218500
D2186,42000D218610
D2188,56000D218807
D2190,39000D21900C
D2192,56000D219260
D2194,42000D219420
D2196,5e000D219609
D2198,39000D21980B
D22,1500000D2200
D221,710000D22100
D222,6c0000D22200
D223,710000D22301
D224,6c0000D22400
D225,710000D22500
D226,6c0000D22600
D227,710000D22701
D228,6c0000D22800
D2201,56000D220100
D2202,5u000D220200
D2206,5l000D220603
D2208,76000D22080F
D2212,5q000D221202
D2214,77000D22140G
D2216,5l000D221602
D2218,77000D22180B
D2222,56000D222207
D2224,76000D22240G
D2226,58000D22260T
D2228,77000D22280H
D2232,5n000D22320Y
D2234,77000D22340K
D2236,57000D22360W
D2238,76000D22380C
D2242,58000D224222
D2244,76000D22440Q
D2246,56000D224603
D2248,77000D22480B
D2254,5s000D225407
D2256,76000D22560E
D2259,39000D22590I
D2260,76000D22600F
D2262,56000D226202
D2264,76000D22640B
D2268,5l000D226804
D2270,77000D227009
D2272,56000D227203
D2274,77000D227401
D2277,39000D227710
D2278,77000D22780B
D2281,5l000D228103
D2282,6i000D22820J
D2284,6i000D22840K
D2286,5f000D228603
D2287,5l000D228708
D2290,6i000D229009
D2292,5f000D229240
D2293,5l000D229340
D2294,6i000D22940V
D2297,5u000D22970L
D2298,6i000D22980L
D2301,5n000D23010O
D2302,6i000D23020O
D2304,6i000D23040R
D2305,5n000D23050I
D2306,6i000D23060N
D2307,5n000D23070Q
D2308,6i000D23080J
D2309,5n000D23090Q
D2310,6i000D23100H
D2311,5n000D231112
D2312,6i000D23120X
D2315,65000D231502
D2321,65000D232100
D2323,5u000D232300
D2325,57000D23250J
D2326,6i000D23260Z
D2328,6i000D23280J
D2329,58000D232901
D2330,6i000D23300M
D2331,58000D23310S
D2334,6i000D23340C
D2335,58000D23350J
D2336,6i000D23360C
D2339,58000D233909
D2349,58000D234909
D2350,6i000D23500C
D2351,5c000D23510X
D2352,6i000D23520Z
D2353,5y000D23530U
D2354,6i000D23540M
D2355,5c000D23550E
D2356,6i000D23560B
D2357,57000D23570J
D2358,6i000D23580B
D2361,5u000D236109
D2362,6i000D236208
D2373,5l000D237302
D2374,76000D23740A
D2376,58000D23760F
D2378,77000D237808
D2381,65000D238109
D2383,58000D23830D
D2387,58000D238708
D2388,65000D238507
D2391,6z000D239103
D2393,58000D239306
D2395,65000D239503
D2401,6l000D240101
D2403,58000D240302
D2407,5n000D240703
D2409,6l000D240901
D2411,5n000D241104
D2414,6i000D241401
D2415,57000D241504
D2421,6l000D242102
D2429,65000D242900
D2431,5j000D243101
D2501,27000D25010B
D2502,4f000D25020H
D2503,27000D250306
D2504,4f000D25040H
D2505,27000D25050B
D2506,4f000D25060I
D2507,27000D250707
D2508,4f000D25080G
