id,station,longitude,latitude
0,北京北,116.35948940889922,39.95165522132587
1,北京东,116.48556137705266,39.91619946739804
2,北京,116.43384170680731,39.910039519869805
3,北京南,116.38548789747736,39.871280236128875
4,北京大兴,116.33430496477423,39.72644408532533
5,北京西,116.32810279404168,39.90083463437583
6,北京朝阳,116.51432269405728,39.950995496942696
7,重庆北,106.55731675315316,29.61545180915434
8,重庆西,106.44244575644156,29.506339562144955
9,上海,121.46205586498652,31.25592270061041
10,上海南,121.43586513902925,31.159438874262317
11,上海虹桥,121.3270119807216,31.20045784666346
12,上海西,121.40930502984628,31.268790485084786
13,天津北,117.21610671609233,39.173165165035506
14,天津,117.21865889187671,39.14483777077245
15,天津南,117.06728084903224,39.06275683264311
16,天津西,117.16997989595212,39.16426510926558
17,长春,125.33080239803564,43.91754156714081
18,长春西,125.206527669716,43.88331349567984
19,成都东,104.02802863763932,30.860021045904805
20,成都南,104.07423756290314,30.61257161616516
21,成都西,103.98550698700232,30.690990834018315
22,长沙,113.08755916595524,28.251818487944465
23,长沙南,113.08755916595524,28.251818487944465
24,福州,119.32657829862382,26.11978532532184
25,福州南,119.39703725059786,25.99233543881834
26,钢城,117.88793395615004,36.079629869070864
27,贵阳,106.70904199102714,26.5626339511354
28,贵阳北,106.68083142514,26.625870221071548
29,贵阳东,106.7516160128613,26.670900975570103
30,广州北,113.21036229014784,23.383175221251065
31,广州东,113.33106212182012,23.155822667249357
32,广州,113.26443704793084,23.154980588876526
33,广州南,113.27582396857154,22.99482601801813
34,哈尔滨北,126.5423222364141,45.85594891830255
35,哈尔滨,126.63751989334294,45.76648262907145
36,哈尔滨东,126.71807993147826,45.79447857873826
37,哈尔滨西,126.5843488308848,45.71300057843275
38,合肥北城,117.25991725547505,32.0696320976046
39,合肥,117.32361915342632,31.89105856967565
40,合肥南,117.29688091026073,31.804240109062725
41,呼和浩特东,111.77254896808098,40.855067301686965
42,呼和浩特,111.67221039854968,40.83702069134983
43,海口东,110.34949163344854,19.989667129394093
44,海口,110.16795567808305,20.033616690850963
45,杭州东,120.21939598691628,30.29714879682717
46,杭州,120.1896061999333,30.24920691019853
47,杭州南,120.30036601168584,30.177844121046636
48,济南,116.997266827754,36.67744627312657
49,济南东,117.16647803158256,36.753373893681655
50,济南西,116.89803110789728,36.675264850887736
51,昆明,102.72821855200172,25.02211385758822
52,昆明南,102.86794314691076,24.876252534873547
53,历城,117.07158975107194,36.68565553471069
54,拉萨,91.076709030189,29.62936247542549
55,林盛堡,126.29998043016946,45.40321568266581
56,莱芜北,117.66659067001652,36.20884142681693
57,兰州,103.85705100585594,36.04043765199907
58,兰州新区,103.62605345074556,36.474759855424786
59,兰州西,103.76964075939368,36.07358743073559
60,南昌,115.95046017276752,28.551604186108275
61,南昌西,115.95046017276752,28.551604186108275
62,南京,118.80371375406084,32.093502120303725
63,南京南,118.80420135429166,31.974141401100464
64,南宁北,108.45645362609928,22.82067730699843
65,南宁东,108.42079520923136,22.84773794617437
66,南宁,108.3217581945862,22.8325206235032
67,南宁西,107.98122836231514,22.89426367741598
68,石家庄北,114.47205350357652,38.07236348988771
69,石家庄东,114.63531307407928,38.05596605561696
70,石家庄,114.49082898704056,38.01689306223906
71,沈阳,123.40171089841807,41.80047536686752
72,沈阳北,123.4426173059176,41.82518675266087
73,沈阳南,123.4148070249564,41.67444886812274
74,太原南,112.61713077805142,37.79744314331259
75,太原,112.59388730264185,37.866154353729904
76,武汉,114.43097740616616,30.61276649039458
77,武汉东,114.43644027146398,30.49341156406579
78,乌鲁木齐南,87.41602874517912,43.47708606579323
79,乌鲁木齐,87.41602874517912,43.47708606579323
80,吴圩机场,108.20984100605156,22.62117496806639
81,西安北,108.94542100098576,34.38103203103255
82,西安,108.96904589691484,34.28522026361671
83,西宁,101.8217123322152,36.62625817343983
84,雪野,117.59491954456404,36.46602067154668
85,银川,106.18045487687544,38.498036698766015
86,引镇,109.1138928993796,34.08282335837652
87,章丘南,117.53256537436938,36.685532751420155
88,郑州东,113.78516787842446,34.765421805779596
89,郑州航空港,113.9389359529088,34.493154939655895
90,郑州,113.66613628987491,34.75239428265715
91,郑州西,113.43156168222384,34.75125219770954
92,昂昂溪,123.8227165879964,47.16704311162602
93,阿城北,127.02993001299946,45.59492717494824
94,阿城,127.00378941248948,45.55687825667595
95,安达,125.32975613190384,46.40753117808896
96,安德,103.81858152154388,30.880348552907915
97,阿尔山,119.95430656016713,47.17828346551684
98,安吉,119.61628399803044,30.82168583634351
99,安靖,104.04299314980784,30.74369013484197
100,安家,127.07421270175853,45.0587456899285
101,安康,109.02271965113604,32.71808386844273
102,阿克苏,80.31264576569119,41.151162887709745
103,阿克陶,75.98167002400545,39.172905111624395
104,阿拉尔,81.2170784378916,40.56079265902646
105,阿里河,123.73676501002072,50.58660424671041
106,阿勒泰,88.09716601360482,47.72485583482127
107,安陆,113.70254443253324,31.263251397609036
108,安陆西,113.66077098055548,31.260805887210054
109,安庆,117.07206998519756,30.5548889322375
110,安庆西,116.87044693043292,30.6783117120844
111,安顺,105.95027512701444,26.23596268114972
112,鞍山,122.9923369978525,41.11933091334193
113,安顺西,105.8824279983098,26.20404700613806
114,鞍山西,122.9222310799206,41.124004253337034
115,安亭北,121.16474593611288,31.32019338346831
116,安亭西,121.16282499961036,31.317376856046163
117,安阳,114.47673376511403,36.0886238158572
118,安阳东,114.45989898087376,36.09000745271366
119,北安,126.51896144230476,48.24106132198734
120,博白,110.00060055315446,22.237100014045495
121,蚌埠南,117.44807255471189,32.90797728957311
