station_train_code,train_no
D756,880000D75605
D759,240000D75905
D760,580000D76006
D762,850000D76203
D764,760000D76405
D766,880000D76606
D768,760000D76805
D771,550000D77130
D772,570000D7720D
D774,770000D77401
D776,410000D77602
D777,330000D77705
D778,410000D77805
D779,3d0000D77906
D780,410000D78004
D781,490000D78102
D782,560000D78210
D806,850000D80603
D808,780000D80808
D851,760000D85101
D853,760000D85301
D854,800000D85401
D855,760000D85501
D856,800000D85601
D857,760000D85701
D858,800000D85801
D859,760000D85906
D860,800000D86001
D861,760000D86100
D862,800000D86201
D871,760000D87101
D872,840000D87201
D875,760000D87501
D876,840000D87601
D887,800000D88701
D888,8L0000D88801
D891,240000D89102
D892,470000D89202
D901,240000D9011F
D902,6i0000D90210
D903,240000D9031B
D904,6i0000D9040Z
D907,5l0000D907D2
D908,6i0000D9080Z
D909,240000D9090Z
D910,6i0000D9100S
D921,240000D9212M
D922,6k0000D9220F
D923,240000D9231E
D924,6e0000D9240S
D927,240000D9271D
D928,6i0000D9280U
D930,800000D9300W
D931,5l0000D931J3
D933,700000D93308
D935,5l0000D93502
D937,6c0000D93712
D939,240000D93915
D941,5l0000D941H8
D942,6e0000D9420K
D952,550000D95232
D954,760000D95405
D956,550000D956A0
D958,770000D9580F
D1001,24000D100108
D1002,33000D100205
D1003,24000D100306
G1,24000000G10I
G2,55000000G200
G3,24000000G300
G4,5l000000G450
G5,24000000G508
G6,5l000000G620
G7,24000000G709
G8,5l000000G830
G9,24000000G904
G10,5l00000G1004
G11,2400000G110N
G12,5l00000G1206
G13,2400000G130B
G14,5500000G1410
G15,2400000G150I
G16,5500000G1600
G17,2400000G170D
G18,5l00000G1840
G19,2400000G190O
G20,5l00000G2050
G21,2400000G210B
G22,5l00000G2220
G23,2400000G2330
G24,5l00000G2410
G25,2400000G2504
G26,5500000G2610
G27,2400000G2710
G28,5l00000G2810
G31,2400000G310R
G32,5600000G3250
G33,2400000G3330
G34,5600000G34C2
G35,2400000G350P
G36,5e00000G3610
G37,2400000G370O
G38,5j00000G3800
G39,2400000G390B
G40,5600000G40A0
G41,2400000G4120
G42,5i00000G4200
G43,2400000G430H
G44,5400000G4400
G45,2400000G450B
G46,5800000G4601
G47,1g00000G4707
G48,0h00000G480C
G49,1g00000G4908
G50,0h00000G5007
G51,2400000G5103
G52,7700000G5201
G53,2400000G5301
G54,7700000G5401
G55,2400000G550P
G56,4f00000G5602
G57,2400000G570Q
G58,4f00000G5802
G59,2400000G590H
G60,4f00000G6004
G61,2400000G6101
G62,2700000G6200
G63,2400000G6300
G65,2400000G6520
G66,4e00000G6601
G67,2400000G670O
G68,4e00000G6803
G69,2400000G690M
G70,4e00000G7001
G71,2400000G7121
G72,8000000G7201
G73,2400000G7303
G74,7800000G7401
G77,2400000G7701
G78,6c00000G7801
G79,2400000G790N
G80,6x00000G8004
G81,2400000G810X
G82,6i00000G8200
G83,2400000G830Y
G84,6c00000G8407
G87,2400000G8710
G88,7600000G8801
G89,2400000G890L
G90,7600000G9002
G91,2400000G910E
G92,8d00000G9201
G93,2400000G9310
G94,7100000G9400
G95,2400000G9505
G96,3800000G9601
G97,2400000G9701
G98,3800000G9801
G99,5l00000G9906
G100,6x0000G10005
G101,240000G1010Y
G102,5l0000G10280
G103,240000G10335
G104,5l0000G10491
G105,240000G1050R
G106,5l0000G106E0
G107,240000G1070S
G108,5q0000G10800
G109,240000G1093M
G110,5l0000G110D1
G111,240000G1111G
G112,5l0000G112B0
G113,240000G1131B
G114,5l0000G11401
G115,240000G11524
G116,5l0000G11600
G117,240000G1171C
G118,5l0000G11809
G119,240000G1190S
G121,240000G12113
G122,5l0000G12200
G123,240000G12334
G124,5l0000G12404
G125,240000G1251S
G127,240000G12740
G128,550000G12810
G129,240000G12921
G130,5l0000G13091
G131,240000G13114
G132,5l0000G132G1
G133,240000G1330N
G134,5l0000G134C1
G135,240000G1350I
G136,5l0000G136G9
G137,240000G13712
G138,5l0000G13800
G139,240000G13919
G140,5l0000G14082
G141,240000G1410O
G142,5l0000G14270
G143,240000G1430Y
G144,5l0000G144Y3
G145,240000G1450X
G146,5l0000G146G0
G147,240000G1470L
G148,5l0000G148G0
G149,240000G1491T
G150,5l0000G15071
G151,240000G15133
G152,5l0000G152F0
G153,240000G1530N
G154,5l0000G154C0
G156,5l0000G15606
G157,240000G1570W
G158,560000G15800
G159,240000G1593H
G160,5l0000G160B2
G161,240000G1610H
G162,5l0000G16283
G169,240000G16909
G170,5u0000G17004
G171,240000G1710F
G172,560000G17200
G173,240000G17308
G174,5j0000G17400
G176,560000G17612
G177,240000G1770S
G178,560000G17801
G179,240000G1790K
G180,5j0000G18002
G181,240000G1810Y
G182,5e0000G18201
G183,240000G1830Z
G184,5j0000G18401
G185,240000G1850P
G186,560000G18634
G187,240000G1870O
G189,240000G1890S
G190,5j0000G19002
G191,240000G1910R
G192,560000G19200
G193,240000G19300
G194,5j0000G19402
G195,240000G1950W
G196,5e0000G19610
G197,240000G1970Q
G198,4z0000G19806
G201,240000G20152
G202,490000G20200
G203,240000G20320
G204,490000G20402
G205,240000G2050N
G206,490000G20605
G207,240000G2070M
G208,490000G20804
G209,240000G20905
G210,490000G21020
G211,240000G21101
G212,490000G21201
G213,240000G21301
G214,490000G21410
G219,240000G2190O
G220,490000G22003
G222,550000G22240
G228,490000G2280D
G232,490000G2320O
G234,5l0000G234B1
K15,4700000K150E
K16,7700000K160D
K21,2400000K212B
K22,7100000K2210
K27,2400000K270Z
K28,1200000K280J
K31,5800000K3019
K34,6500000K340B
K36,5500000K3608
K41,2400000K4120
K42,8600000K4210
K48,5600000K4840
K50,0400000K500J
K53,2400000K530K
K54,1200000K540C
K56,3300000K5630
K58,1200000K5801
K60,4100000K6020
K62,5f00000K62B1
K71,5500000K7105
K73,7700000K730G
K79,5500000K7909
K80,8000000K800Z
K82,6300000K8200
K84,4100000K8421
K85,6300000K850V
K87,5700000K870U
K89,2400000K8915
K90,3300000K900V
K92,6500000K920P
K94,5f00000K9403
K95,2400000K9530
K96,1800000K9600
K105,240000K10535
K106,650000K10623
K111,550000K11108
K112,780000K1120D
K117,240000K11733
K118,760000K1180I
K123,550000K12305
K124,420000K1240Z
K126,410000K12636
K128,110000K1280F
K132,850000K13211
K134,650000K13403
K136,5f0000K13609
K138,800000K1380A
K139,240000K13902
K140,5f0000K14002
K142,710000K1420Q
K144,760000K1440D
K149,550000K14950
K150,710000K15010
K152,550000K15207
K157,240000K15733
K158,710000K15814
K161,480000K16104
K162,710000K1620K
K166,5e0000K16604
K168,400000K16805
K177,380000K1770H
K178,880000K1780F
K179,240000K17910
K180,380000K18006
K188,550000K188D0
K190,120000K19021
K192,630000K19220
K194,760000K1940H
K195,330000K1950L
K196,760000K1960B
K201,770000K2010F
K202,630000K2020L
K206,760000K20620
K208,490000K2080J
K210,630000K2100L
K212,5e0000K21252
K213,250000K2131O
K214,410000K21413
K226,630000K2260V
K228,850000K2283I
K231,670000K23100
K232,800000K23230
K233,260000K2331E
K234,550000K23440
K237,270000K23711
K238,650000K23803
K242,410000K2422K
K244,5n0000K2440J
K245,5f0000K24592
K246,760000K2460D
K253,550000K253E0
K254,420000K2540S
K257,250000K25723
K258,760000K2580H
K261,240000K26148
K262,430000K2621U
K263,240000K26330
K264,330000K26440
K267,240000K2672S
K268,640000K2680L
K269,240000K26900
K270,400000K27010
K271,550000K271B0
K272,570000K2720S
K282,550000K282E3
K284,760000K2840F
K285,240000K2851I
K286,490000K2860B
K287,550000K28715
K288,570000K2880L
K290,550000K29001
K292,760000K2920J
K297,650000K2970L
K302,630000K30216
K304,480000K30490
K306,850000K30637
K308,5a0000K30802
K326,630000K3260W
K328,5a0000K328D4
K330,400000K33025
K332,250000K33218
K335,110000K33509
K336,5e0000K33608
K339,240000K3392G
K340,020000K3401B
K346,120000K3460W
K348,5a0000K34803
K349,240000K3490I
K351,550000K35106
K352,760000K3520T
K359,870000K3596B
K360,550000K36005
K367,410000K3670V
K369,8b0000K36937
K371,280000K37100
K372,550000K37211
K377,620000K37701
K379,550000K37901
K381,040000K38107
K383,240000K38310
K386,760000K3860X
K388,120000K38833
K390,880000K39007
K392,560000K39202
K395,240000K3950M
K396,330000K39620
K401,240000K4011A
K402,4d0000K4020C
K403,770000K40307
K404,5n0000K4040F
K411,240000K4111D
K412,490000K4120J
K419,5f0000K41940
