station,city,longitude,latitude
北京北,北京,116.35948940889922,39.95165522132587
北京东,北京,116.48556137705266,39.91619946739804
北京,北京,116.43384170680733,39.910039519869805
北京南,北京,116.38548789747735,39.871280236128875
北京大兴,北京,116.33430496477423,39.72644408532533
北京西,北京,116.32810279404168,39.90083463437583
北京朝阳,北京,116.51432269405727,39.950995496942696
重庆北,重庆,106.55731675315316,29.61545180915434
重庆西,重庆,106.44244575644157,29.506339562144955
上海,上海,121.46205586498651,31.25592270061041
上海南,上海,121.43586513902925,31.159438874262317
上海虹桥,上海,121.32701198072161,31.20045784666346
上海西,上海,121.40930502984628,31.268790485084782
天津北,天津,117.21610671609231,39.173165165035506
天津,天津,117.21865889187671,39.14483777077245
天津南,天津,117.06728084903223,39.06275683264311
天津西,天津,117.16997989595211,39.16426510926558
长春,长春,125.33080239803563,43.91754156714081
长春西,长春,125.206527669716,43.883313495679836
成都东,成都,104.02802863763932,30.860021045904805
成都南,成都,104.07423756290314,30.61257161616516
成都西,成都,103.98550698700231,30.690990834018315
长沙,长沙,113.08755916595523,28.251818487944462
长沙南,长沙,113.08755916595523,28.251818487944462
福州,福州,119.32657829862382,26.11978532532184
福州南,福州,119.39703725059786,25.99233543881834
钢城,济南,117.88793395615005,36.079629869070864
贵阳,贵阳,106.70904199102714,26.5626339511354
贵阳北,贵阳,106.68083142514001,26.625870221071548
贵阳东,贵阳,106.7516160128613,26.670900975570103
广州北,广州,113.21036229014784,23.383175221251065
广州东,广州,113.33106212182011,23.155822667249357
广州,广州,113.26443704793083,23.154980588876526
广州南,广州,113.27582396857154,22.99482601801813
哈尔滨北,哈尔滨,126.5423222364141,45.85594891830255
哈尔滨,哈尔滨,126.63751989334294,45.76648262907145
哈尔滨东,哈尔滨,126.71807993147826,45.79447857873826
哈尔滨西,哈尔滨,126.5843488308848,45.71300057843275
合肥北城,合肥,117.25991725547505,32.0696320976046
合肥,合肥,117.32361915342632,31.89105856967565
合肥南,合肥,117.29688091026073,31.804240109062725
呼和浩特东,呼和浩特,111.77254896808098,40.855067301686965
呼和浩特,呼和浩特,111.67221039854968,40.83702069134983
海口东,海口,110.34949163344854,19.989667129394093
海口,海口,110.16795567808303,20.033616690850963
杭州东,杭州,120.21939598691628,30.297148796827166
杭州,杭州,120.1896061999333,30.24920691019853
杭州南,杭州,120.30036601168585,30.177844121046636
济南,济南,116.997266827754,36.67744627312657
济南东,济南,117.16647803158256,36.753373893681655
济南西,济南,116.89803110789728,36.675264850887736
昆明,昆明,102.72821855200172,25.02211385758822
昆明南,昆明,102.86794314691076,24.876252534873547
历城,济南,117.07158975107194,36.68565553471069
拉萨,拉萨,91.076709030189,29.62936247542549
林盛堡,沈阳,126.29998043016946,45.40321568266581
莱芜北,济南,117.66659067001653,36.20884142681693
兰州,兰州,103.85705100585594,36.04043765199907
兰州新区,兰州,103.62605345074556,36.474759855424786
兰州西,兰州,103.76964075939367,36.07358743073559
南昌,南昌,115.95046017276752,28.551604186108275
南昌西,南昌,115.95046017276752,28.551604186108275
南京,南京,118.80371375406085,32.093502120303725
南京南,南京,118.80420135429166,31.974141401100464
南宁北,南宁,108.45645362609929,22.82067730699843
南宁东,南宁,108.42079520923137,22.847737946174366
南宁,南宁,108.3217581945862,22.8325206235032
南宁西,南宁,107.98122836231514,22.89426367741598
石家庄北,石家庄,114.47205350357652,38.07236348988771
石家庄东,石家庄,114.63531307407928,38.05596605561696
石家庄,石家庄,114.49082898704057,38.01689306223906
沈阳,沈阳,123.40171089841809,41.800475366867516
沈阳北,沈阳,123.44261730591761,41.82518675266087
沈阳南,沈阳,123.4148070249564,41.67444886812274
太原南,太原,112.61713077805142,37.79744314331259
太原,太原,112.59388730264183,37.866154353729904
武汉,武汉,114.43097740616616,30.61276649039458
武汉东,武汉,114.43644027146398,30.49341156406579
