Id,lng,lat
北京北,116.35948940889922,39.95165522132587
北京东,116.48556137705266,39.91619946739804
北京,116.43384170680731,39.910039519869805
北京南,116.38548789747736,39.871280236128875
北京大兴,116.33430496477423,39.72644408532533
北京西,116.32810279404168,39.90083463437583
北京朝阳,116.51432269405728,39.950995496942696
重庆北,106.55731675315316,29.61545180915434
重庆西,106.44244575644156,29.506339562144955
上海,121.46205586498652,31.25592270061041
上海南,121.43586513902925,31.159438874262317
上海虹桥,121.3270119807216,31.20045784666346
上海西,121.40930502984628,31.268790485084786
天津北,117.21610671609233,39.173165165035506
天津,117.21865889187671,39.14483777077245
天津南,117.06728084903224,39.06275683264311
天津西,117.16997989595212,39.16426510926558
长春,125.33080239803564,43.91754156714081
长春西,125.206527669716,43.88331349567984
成都东,104.02802863763932,30.860021045904805
成都南,104.07423756290314,30.61257161616516
成都西,103.98550698700232,30.690990834018315
长沙,113.08755916595524,28.251818487944465
长沙南,113.08755916595524,28.251818487944465
福州,119.32657829862382,26.11978532532184
福州南,119.39703725059786,25.99233543881834
钢城,117.88793395615004,36.079629869070864
贵阳,106.70904199102714,26.5626339511354
贵阳北,106.68083142514,26.625870221071548
贵阳东,106.7516160128613,26.670900975570103
广州北,113.21036229014784,23.383175221251065
广州东,113.33106212182012,23.155822667249357
广州,113.26443704793084,23.154980588876526
广州南,113.27582396857154,22.99482601801813
哈尔滨北,126.5423222364141,45.85594891830255
哈尔滨,126.63751989334294,45.76648262907145
哈尔滨东,126.71807993147826,45.79447857873826
哈尔滨西,126.5843488308848,45.71300057843275
合肥北城,117.25991725547505,32.0696320976046
合肥,117.32361915342632,31.89105856967565
合肥南,117.29688091026073,31.804240109062725
呼和浩特东,111.77254896808098,40.855067301686965
呼和浩特,111.67221039854968,40.83702069134983
海口东,110.34949163344854,19.989667129394093
海口,110.16795567808305,20.033616690850963
杭州东,120.21939598691628,30.29714879682717
杭州,120.1896061999333,30.24920691019853
杭州南,120.30036601168584,30.177844121046636
济南,116.997266827754,36.67744627312657
济南东,117.16647803158256,36.753373893681655
济南西,116.89803110789728,36.675264850887736
昆明,102.72821855200172,25.02211385758822
昆明南,102.86794314691076,24.876252534873547
历城,117.07158975107194,36.68565553471069
拉萨,91.076709030189,29.62936247542549
林盛堡,126.29998043016946,45.40321568266581
莱芜北,117.66659067001652,36.20884142681693
兰州,103.85705100585594,36.04043765199907
兰州新区,103.62605345074556,36.474759855424786
兰州西,103.76964075939368,36.07358743073559
南昌,115.95046017276752,28.551604186108275
南昌西,115.95046017276752,28.551604186108275
南京,118.80371375406084,32.093502120303725
南京南,118.80420135429166,31.974141401100464
南宁北,108.45645362609928,22.82067730699843
南宁东,108.42079520923136,22.84773794617437
南宁,108.3217581945862,22.8325206235032
南宁西,107.98122836231514,22.89426367741598
石家庄北,114.47205350357652,38.07236348988771
石家庄东,114.63531307407928,38.05596605561696
石家庄,114.49082898704056,38.01689306223906
沈阳,123.40171089841807,41.80047536686752
沈阳北,123.4426173059176,41.82518675266087
沈阳南,123.4148070249564,41.67444886812274
太原南,112.61713077805142,37.79744314331259
太原,112.59388730264185,37.866154353729904
武汉,114.43097740616616,30.61276649039458
武汉东,114.43644027146398,30.49341156406579
乌鲁木齐南,87.41602874517912,43.47708606579323
乌鲁木齐,87.41602874517912,43.47708606579323
吴圩机场,108.20984100605156,22.62117496806639
西安北,108.94542100098576,34.38103203103255
西安,108.96904589691484,34.28522026361671
西宁,101.8217123322152,36.62625817343983
雪野,117.59491954456404,36.46602067154668
银川,106.18045487687544,38.498036698766015
引镇,109.1138928993796,34.08282335837652
章丘南,117.53256537436938,36.685532751420155
郑州东,113.78516787842446,34.765421805779596
郑州航空港,113.9389359529088,34.493154939655895
