start_station_id,end_station_id,running_time,train_no
63,528,8,G7581
2061,1726,8,C6963
1464,2360,8,K2062
1966,1391,8,C6722
1391,1611,8,C6722
1441,258,8,C6722
964,1213,8,D8519
1856,1955,8,C7724
699,530,8,G7071
1916,236,8,D352
424,1596,8,D5762
1022,853,8,S107
2,1,8,S109
754,726,8,D5752
1686,1509,8,D7167
1011,1276,8,C5001
1964,1686,8,D7167
300,1599,8,D5746
87,84,8,G5377
1446,1481,8,C6837
1423,1653,8,D7713
2143,1108,8,C7591
653,1744,8,G5878
1407,1731,8,G2926
770,115,8,G7056
372,1546,8,D1796
293,1521,8,C2713
1021,1707,8,D3092
1595,919,8,D5884
941,325,8,C7479
412,432,8,D4108
2305,1852,8,C7625
1408,212,8,C6405
1205,1032,8,C164
1173,1038,8,D7978
303,238,8,C6604
2008,334,8,C3197
1111,788,8,C3368
1668,1715,8,C7491
900,2346,8,C174
838,1111,8,C3336
1676,1331,8,D671
1850,1790,8,D6407
1014,697,8,K48
14,13,8,S904
1106,894,9,G8766
45,47,9,D2287
134,975,9,C2552
572,573,9,C2810
1257,1374,9,D2226
1232,127,9,D6710
671,1802,9,G2686
98,1533,9,G2558
484,965,9,D7414
1374,300,9,D2226
671,2141,9,D2876
2036,2033,9,G8324
923,1979,9,G1980
496,1415,9,D2114
805,859,9,G7332
450,928,9,G8398
1865,1658,9,C478
2322,2341,9,C879
1550,1569,9,G8252
303,838,9,C3330
1468,1290,9,D3056
1284,1411,9,G3131
659,2113,9,G1379
45,649,9,D2421
659,1688,9,G282
2307,338,9,S6952
2132,720,9,D851
887,457,9,G7428
230,1422,9,G3131
459,2069,9,G1228
136,135,9,G2606
2213,961,9,G7076
588,2027,9,D3137
963,2000,9,G9363
535,891,9,D3104
1004,1105,9,G2167
458,1998,9,G7788
2298,1307,9,G2090
2289,491,9,G2704
20,19,9,D1970
950,1548,9,G1008
1702,2246,9,K1052
588,115,9,G7215
2168,1157,9,C164
1753,297,9,G8783
521,1417,9,G5292
25,199,9,D6569
280,95,9,G1262
321,2054,9,D377
34,35,9,D6922
2255,2063,9,D6625
1710,213,9,D7179
2266,1394,9,D1919
1908,562,9,D1920
840,841,9,D6924
164,2425,9,G4279
843,1614,9,G6537
1044,1020,9,D2290
2305,2157,9,C7682
1951,1934,9,C7733
808,2205,9,G2056
1036,2095,9,G2026
1675,2157,9,C7724
1876,2317,9,D8718
819,524,9,D1718
855,1577,9,D2328
297,1538,9,G8695
921,1654,9,G6684
1166,724,9,C3416
2037,2031,9,C3802
1696,500,9,G2285
3,141,9,C129
1747,2418,9,C7456
55,892,9,K7321
2344,2335,9,D8941
1175,1482,9,G8762
1523,1329,9,G6712
1998,1513,9,G3180
1243,92,9,K7249
1445,127,9,D1102
1666,939,9,K5203
1445,1605,9,D6727
783,1704,9,G6642
255,1548,9,G6321
735,1639,9,S6919
1112,62,9,G7118
77,754,9,D5770
1447,1961,9,C6848
342,1984,9,C6847
1469,1984,9,C6846
1446,1469,9,C6846
2218,1983,9,C6842
319,1599,9,D5772
1985,209,9,C7591
1231,2238,9,G2358
2020,2013,9,G7482
2032,1651,9,D6032
899,482,9,C5873
1600,1615,9,C6702
480,620,9,C5895
405,480,9,C5844
166,759,9,C5844
1134,258,9,C6727
1926,1809,9,G6948
27,28,9,C5806
516,170,9,C5807
2404,2402,9,S1205
35,37,9,K7091
665,1075,9,C8211
22,539,9,G5696
2350,995,9,G1397
1637,193,9,D2262
1626,1534,9,D5762
2145,1352,10,D6601
2418,2412,10,C7431
2142,1293,10,D1105
1355,164,10,G6274
372,374,10,D3563
1279,1839,10,C7692
207,805,10,G1732
2157,1313,10,C7673
285,2204,10,G1836
1281,1313,10,C7630
96,426,10,C6154
2108,1663,10,C156
31,32,10,D7554
2406,2400,10,S1615
253,1361,10,D7747
1158,89,10,G6653
280,283,10,D6911
1200,1716,10,G2314
1912,2049,10,C7676
2127,2232,10,G6643
2390,2389,10,K9380
1514,1830,10,G6955
1033,2086,10,G1844
894,20,10,G8766
1568,1566,10,G8270
2231,1689,10,K2061
2145,1432,10,D6602
2066,735,10,S7808
1250,1826,10,D6071
1278,340,10,G8779
1223,1225,10,D6597
260,1462,10,C1037
282,1043,10,K7098
743,2303,10,G7582
1774,279,10,G2765
1061,951,10,G143
1405,257,10,D7554
1856,1951,10,C7666
1343,182,10,G3663
57,59,10,C621
1772,176,10,G3189
1812,1407,10,C6031
1902,2179,10,D2256
481,1927,10,D3673
1775,1731,10,C6032
402,1579,10,G7412
705,798,10,K5150
2129,440,10,G1240
1955,2157,10,C7671
2232,1496,10,G6643
1585,1754,10,K652
2391,2390,10,K9380
2049,1313,10,C7694
1601,800,10,G1625
1297,2149,10,G1572
1080,1387,10,C2730
874,612,10,G6465
1121,1631,10,D5792
1148,1162,10,K974
806,545,10,D4111
17,18,10,G956
513,2120,10,G1460
776,430,10,C2830
1508,1574,10,G6429
1287,190,10,K262
2,3,10,C129
2039,2070,10,D8255
552,2069,10,G1421
1933,1575,10,G2632
96,268,10,C6105
2277,188,10,G3233
1552,501,10,G3209
536,1498,10,G479
1353,1352,10,D6610
1837,1498,10,G481
1297,1654,10,G3109
1767,801,10,G2305
2353,2334,10,C67
225,793,10,D2325
1679,1700,10,G5297
158,1844,10,D7755
945,2089,10,G3212
541,1780,10,G7275
1387,1521,10,C2712
28,29,10,C6367
601,757,10,G8755
488,1081,10,G2234
2176,1357,10,C3191
770,9,10,G7234
822,1417,10,G5291
1700,1709,10,G5293
1077,2067,10,D3564
35,1088,10,K5135
1934,1359,10,C7624
1910,723,10,C6288
1383,1566,10,C3113
2062,994,10,K7106
22,621,10,D7474
1828,1878,10,C756
1277,193,10,G1184
842,110,10,G8398
2142,1102,10,D1120
1239,1864,10,C757
589,1056,10,C9845
1701,1853,10,G7746
29,610,10,D1763
1182,2206,10,C3253
2394,284,10,K9380
2425,128,10,G4279
1996,544,10,G7318
2393,2392,10,K9380
777,2383,10,K7118
1634,236,10,G8294
1309,1447,10,C6872
2027,2028,10,G7060
761,946,10,S612
1278,1370,10,G8778
1501,1931,10,G2709
1229,464,10,S612
2100,1491,10,D7668
1534,319,10,D3287
1916,1062,10,G7053
74,75,10,D2792
519,975,10,C2575
366,69,10,G2072
15,16,10,G2646
246,2100,10,D7630
1991,2061,10,C6931
2124,430,10,D7889
90,776,10,D7873
1339,1755,10,C504
1695,535,10,D3104
183,2046,10,C256
1681,526,10,C880
889,1088,10,K5179
1155,2236,10,D3934
1506,1207,10,C231
1300,1506,10,C231
2019,1390,10,C6732
364,983,10,C5822
1400,2245,10,C7595
1985,2170,10,C7596
560,162,10,C5811
1113,798,10,K7289
27,899,10,C5815
364,560,10,C5815
360,277,10,D164
44,2412,10,C7385
1271,2298,10,G2632
215,765,10,D1713
56,84,10,G5374
2292,1400,10,C7593
808,306,10,D1636
2360,675,10,K2062
1258,677,11,G344
1472,1070,11,G348
1778,2191,11,D3596
514,513,11,G870
1895,2174,11,D2112
704,1606,11,D8524
2195,1888,11,G7794
342,1989,11,D3680
588,951,11,G1956
619,420,11,G628
2350,2330,11,G2382
356,2044,11,G7742
74,1718,11,D1903
19,1087,11,G3467
65,66,11,D3961
936,937,11,G7557
2033,633,11,G8326
1175,860,11,G8764
133,1622,11,D3568
544,1665,11,G242
831,129,11,G1218
649,2069,11,G7556
1533,1800,11,G7724
1087,1538,11,G3467
1038,1213,11,D8526
1078,859,11,G7545
81,1081,11,D2003
982,842,11,D2161
2196,800,11,G242
73,71,11,G1216
517,855,11,D3651
