station_train_code,train_no
K30,5800000K3019
K32,4000000K320L
K34,6500000K340B
K35,6500000K340B
K36,5500000K3608
K302,630000K30216
K304,480000K30490
K305,5a0000K30802
K306,850000K30637
K308,5a0000K30802
K326,630000K3260W
K328,5a0000K328D4
K330,400000K33025
K332,250000K33216
K335,110000K33509
K336,5e0000K33608
K337,5e0000K33608
K339,240000K3392G
K340,020000K3401B
K345,5a0000K34803
K346,120000K3460W
K348,5a0000K34803
K349,240000K3490I
K350,020000K3500G
K351,550000K35106
K352,760000K3520T
K359,870000K3596B
K360,550000K36005
K367,410000K3670V
K369,8b0000K36937
K371,280000K37100
K372,550000K37211
K377,620000K37701
K379,550000K37901
K381,040000K38107
K383,240000K38310
K386,760000K3860X
K388,120000K38833
K390,880000K39007
K392,560000K39202
K395,240000K3950M
K396,330000K39620
K41,2400000K4120
K42,8600000K4210
K48,5600000K4840
K401,240000K4011A
K402,4d0000K4020C
K403,770000K40307
K404,5n0000K4040F
K411,240000K4111D
K412,490000K4120J
K419,5f0000K41940
K420,850000K42081
K422,5e0000K422E0
K424,760000K4240R
K429,240000K4291B
K430,190000K4300T
K435,390000K4350N
K437,670000K4370P
K441,570000K4410K
K442,650000K4420I
K446,650000K4460Q
K448,410000K44825
K452,760000K4520I
K454,940000K4540E
K457,380000K457B0
K458,6b0000K4580I
K462,390000K4620M
K464,550000K46440
K466,5e0000K46640
K468,410000K4680Z
K469,550000K46980
K470,570000K4700V
K473,240000K47314
K474,800000K4740K
K478,580000K47821
K486,650000K4860Q
K488,760000K4880R
K489,150000K48906
K490,020000K4900S
K492,800000K49226
K494,480000K49401
K495,550000K49590
K496,780000K4960K
K497,240000K4971P
K498,040000K4980J
K4056,33000K405600
K4058,12000K405801
K4059,28000K405900
K4060,33000K406000
K4069,24000K406905
K4070,57000K407005
K4083,12000K408301
K4084,0h000K408401
K4095,24000K409505
K4096,33000K409600
K4119,25000K41190G
K4120,04000K412006
K4159,24000K415937
K4160,59000K416093
K4161,38000K416120
K4162,39000K416201
K4172,76000K417200
K4174,88000K417400
K4179,24000K417904
K4180,38000K418003
K4237,24000K42370Y
K4238,8d000K423860
K4242,33000K42420K
K4257,77000K425700
K4258,5a000K425800
K4495,15000K449501
K4496,04000K449601
K4603,24000K46030V
K4604,47000K46040S
K4686,11000K468606
K4687,64000K468703
K4688,71000K468804
K4756,93000K475605
K4758,76000K475803
K4790,58000K479002
K4792,41000K479202
K4917,41000K49170D
K4918,93000K491808
K4986,76000K498602
K4988,85000K498810
K50,0400000K500J
K53,2400000K530K
K54,1200000K540C
K56,3300000K5630
K58,1200000K5801
K502,620000K5020M
K504,760000K5040J
K507,240000K50730
K508,780000K5080O
K511,550000K511A0
K512,6b0000K5120Y
K520,410000K52000
K522,480000K52200
K525,540000K52550
K526,580000K5260U
K527,540000K52707
K528,630000K5280Y
K529,560000K529B1
K530,760000K5300Q
K533,550000K533K0
K534,640000K5341D
K536,650000K5360F
K538,400000K5380J
K546,760000K5460N
K548,0h0000K54805
K549,130000K5490V
K550,040000K55010
K552,5a0000K552G0
K554,020000K55404
K559,4a0000K5591A
K560,550000K56070
K564,5f0000K56430
K566,270000K56605
K568,040000K56830
K570,650000K57000
K571,240000K57131
K572,5n0000K5720G
K573,240000K5731A
K574,3d0000K5740U
K575,550000K57591
K576,620000K5760M
K579,240000K57903
K581,130000K58102
K586,650000K58603
K588,760000K5880R
K589,240000K58928
K590,400000K59008
K594,530000K59402
K596,930000K5960F
K598,330000K5981G
K5001,13000K50010S
K5002,11000K50020S
K5005,13000K500506
K5006,12000K50060S
K5007,13000K500705
K5008,12000K500805
K5009,11000K500902
K5010,11000K501001
K5011,12000K501102
K5012,12000K50120U
K5013,12000K501302
K5014,12000K501402
K5018,1c000K501801
K5019,13000K501902
K5020,18000K502002
K5025,15000K502510
K5026,12000K502620
K5031,13000K50313G
K5032,11000K50323I
K5035,16000K503513
K5036,11000K503614
K5041,15000K504107
K5042,12000K504207
K5043,15000K504304
K5044,12000K504404
K5045,15000K504509
K5046,18000K504609
K5051,15000K505107
K5053,12000K50530C
K5054,12000K50540C
K5057,12000K50570P
K5058,12000K50580P
K5062,12000K506208
K5071,13000K507101
K5073,15000K507301
K5077,13000K507703
K5078,18000K507803
K5081,11000K508105
K5089,12000K508903
K5090,18000K509003
K5091,15000K509103
K5092,19000K509201
K5095,13000K509503
K5097,16000K509701
K5101,01000K510104
K5102,02000K510204
K5103,02000K510302
K5104,02000K510402
K5107,05000K510701
K5108,05000K510801
K5109,03000K510900
K5110,03000K511010
K5111,04000K511101
K5112,04000K511202
K5114,04000K511401
K5115,03000K511502
K5116,03000K511620
K5117,02000K511703
K5118,02000K51180B
K5119,02000K511902
K5120,02000K512003
K5122,03000K512200
K5123,01000K512340
K5124,02000K512400
K5128,04000K512803
K5129,05000K512901
K5130,05000K513001
K5132,05000K513202
